Nome,Estrelas,Forks,Issues Abertas,Criado em,Última Atualização,Último Push,Número de Releases,Total de Pull Requests Aceitas,Razão de Issues Fechadas,Linguagem Primária
json,42099,6644,147,2013-07-04T08:47:49Z,2024-09-05T17:41:11Z,2024-08-20T16:38:33Z,30,17,0.6,C++
terraform,42097,9473,1963,2014-03-13T22:25:48Z,2024-09-05T16:59:34Z,2024-09-05T14:33:49Z,30,13,0.36666666666666664,Go
frontend-dev-bookmarks,42093,5087,123,2013-06-22T13:23:55Z,2024-09-05T17:13:02Z,2024-05-21T10:56:58Z,1,10,0.36666666666666664,
open-source-ios-apps,41953,5398,2,2015-01-26T23:32:34Z,2024-09-05T17:17:36Z,2024-09-05T17:17:32Z,30,28,0.9333333333333333,
awesome-react-components,41877,3455,10,2016-06-24T15:19:33Z,2024-09-05T17:13:03Z,2024-08-12T13:52:53Z,0,25,0.7,
git-flight-rules,41709,3182,18,2014-07-22T20:35:09Z,2024-09-05T13:48:04Z,2024-08-27T02:17:08Z,0,30,0.8666666666666667,
discourse,41678,8259,67,2013-01-12T00:25:55Z,2024-09-05T17:02:12Z,2024-09-05T17:46:51Z,0,25,0.8333333333333334,Ruby
alist,41608,5368,170,2020-12-23T17:40:29Z,2024-09-05T16:24:08Z,2024-09-03T12:03:31Z,30,19,0.36666666666666664,Go
query,41582,2830,83,2019-09-10T19:23:58Z,2024-09-05T10:28:50Z,2024-09-05T03:55:54Z,30,19,0.5,TypeScript
localsend,41534,2136,420,2022-12-16T00:46:07Z,2024-09-05T17:44:24Z,2024-09-04T23:12:09Z,21,29,0.5,Dart
grpc,41527,10482,957,2014-12-08T18:58:53Z,2024-09-05T16:28:28Z,2024-09-05T17:29:06Z,30,9,0.3,C++
react-use,41478,3129,590,2018-10-27T10:16:05Z,2024-09-05T17:33:42Z,2024-08-23T15:45:18Z,30,18,0.6666666666666666,TypeScript
yarn,41389,2724,2011,2016-01-19T17:39:16Z,2024-09-05T15:21:14Z,2024-08-06T07:30:53Z,30,17,0.3,JavaScript
front-end-interview-handbook,41315,5736,12,2018-01-13T19:40:08Z,2024-09-05T17:10:32Z,2024-09-04T03:17:58Z,0,30,0.9666666666666667,MDX
pm2,41295,2607,964,2013-05-21T03:25:25Z,2024-09-05T15:13:56Z,2024-07-31T18:34:48Z,30,15,0.13333333333333333,JavaScript
awesome-java,41228,7322,2,2014-07-09T10:12:43Z,2024-09-05T17:09:04Z,2024-07-16T16:45:04Z,0,29,0.9333333333333333,
open-source-mac-os-apps,40979,2290,106,2017-11-03T02:35:33Z,2024-09-05T16:24:22Z,2024-08-15T08:31:11Z,0,12,0.4,
react-hook-form,40979,2047,52,2019-03-05T23:47:10Z,2024-09-05T15:24:29Z,2024-08-31T03:37:09Z,30,22,0.8,TypeScript
Alamofire,40967,7536,48,2014-07-31T05:56:19Z,2024-09-05T17:57:39Z,2024-08-29T23:24:13Z,30,23,0.6666666666666666,Swift
vue2-elm,40914,12454,116,2016-12-23T01:49:20Z,2024-09-05T14:27:36Z,2023-12-09T04:55:06Z,0,29,0.3333333333333333,Vue
Leaflet,40910,5800,556,2010-09-22T16:57:44Z,2024-09-05T17:13:48Z,2024-09-02T12:28:42Z,30,14,0.3,JavaScript
30-Days-Of-Python,40860,7788,197,2019-11-19T17:24:16Z,2024-09-05T17:56:20Z,2024-08-17T23:00:53Z,0,15,0.4,Python
jadx,40849,4800,397,2013-03-18T17:08:21Z,2024-09-05T17:23:24Z,2024-09-04T20:52:21Z,29,28,0.6333333333333333,Java
brew,40712,9540,57,2016-03-06T05:08:38Z,2024-09-05T17:37:44Z,2024-09-05T15:33:06Z,30,25,0.8333333333333334,Ruby
drawio,40529,7552,269,2016-09-06T12:59:15Z,2024-09-05T16:57:09Z,2024-08-28T14:45:38Z,30,28,0.36666666666666664,JavaScript
edex-ui,40488,2546,6,2017-01-28T09:35:02Z,2024-09-05T15:23:57Z,2021-10-19T22:38:47Z,29,30,0.9666666666666667,JavaScript
kubernetes-the-hard-way,40418,13858,212,2016-07-07T14:15:27Z,2024-09-05T16:54:19Z,2024-08-05T12:35:37Z,0,2,0.1,
styled-components,40359,2489,280,2016-08-16T06:41:32Z,2024-09-05T17:07:39Z,2024-08-30T03:24:07Z,30,23,0.26666666666666666,TypeScript
ChatGLM-6B,40348,5179,587,2023-03-13T12:00:18Z,2024-09-05T17:58:41Z,2024-06-27T04:05:25Z,0,12,0.1,Python
dubbo,40336,26395,865,2012-06-19T07:56:02Z,2024-09-05T17:16:36Z,2024-09-05T09:17:48Z,30,22,0.5333333333333333,Java
nw.js,40285,3883,921,2012-01-04T06:21:10Z,2024-09-05T14:32:58Z,2024-08-28T16:50:19Z,0,28,0.6333333333333333,JavaScript
python-patterns,40151,6920,16,2012-06-06T21:02:35Z,2024-09-05T13:48:11Z,2024-07-28T10:23:34Z,0,26,0.8,Python
Fooocus,39968,5517,218,2023-08-09T18:43:40Z,2024-09-05T15:16:25Z,2024-08-21T01:49:14Z,21,24,0.26666666666666666,Python
